Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
1.2 Social Login Integration,JUM-11,10399,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@63a9aeae,,,,,,,,,,,,,,,,0|i00173:,,,JUM Sprint 1,,,,,,,,,,,,,10379,JUM-1,Module 1: User Registration,To Do,02/Apr/26 12:52 PM
Module 2: User Login,JUM-12,10400,Epic,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 12:52 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9528f50,,,,,ghx-label-6,,To Do,,,,green,,,,,0|i0017b:,,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 12:52 PM
2.1 Email / Mobile Login,JUM-13,10402,Story,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b97f534,,,,,,,,,,,,,,,,0|i0017j:,,,JUM Sprint 1,,,,,,,,,,,,,10400,JUM-12,Module 2: User Login,To Do,02/Apr/26 12:52 PM
2.1.1 Login – Email Field Validation,JUM-14,10404,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6be1731d,,,,,,,,,,,,,,,,0|i0017r:,,,JUM Sprint 1,,,,,,,,,,,,,10400,JUM-12,Module 2: User Login,To Do,02/Apr/26 12:52 PM
2.1.2 Login – Mobile Number Field,JUM-15,10406,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@45936c11,,,,,,,,,,,,,,,,0|i0017z:,,,JUM Sprint 1,,,,,,,,,,,,,10400,JUM-12,Module 2: User Login,To Do,02/Apr/26 12:52 PM
2.1.3 Login – Password Field,JUM-16,10408,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4919b03c,,,,,,,,,,,,,,,,0|i00187:,,,JUM Sprint 1,,,,,,,,,,,,,10400,JUM-12,Module 2: User Login,To Do,02/Apr/26 12:52 PM
2.1.4 Login Button Behaviour,JUM-17,10410,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@48c433b0,,,,,,,,,,,,,,,,0|i0018f:,,,JUM Sprint 1,,,,,,,,,,,,,10400,JUM-12,Module 2: User Login,To Do,02/Apr/26 12:52 PM
2.1.5 Forgot Password,JUM-18,10412,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4ab414a7,,,,,,,,,,,,,,,,0|i0018n:,,,JUM Sprint 1,,,,,,,,,,,,,10400,JUM-12,Module 2: User Login,To Do,02/Apr/26 12:52 PM
Module 3: Dashboard / Home Page,JUM-19,10413,Epic,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 12:52 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@e058c52,,,,,ghx-label-5,,To Do,,,,dark_teal,,,,,0|i0018v:,,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 12:52 PM
3.1 Navigation,JUM-20,10415,Story,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@72b8daf9,,,,,,,,,,,,,,,,0|i00193:,,,JUM Sprint 1,,,,,,,,,,,,,10413,JUM-19,Module 3: Dashboard / Home Page,To Do,02/Apr/26 12:52 PM
3.2 Header Section,JUM-21,10417,Story,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@186b5ef1,,,,,,,,,,,,,,,,0|i0019b:,,,JUM Sprint 1,,,,,,,,,,,,,10413,JUM-19,Module 3: Dashboard / Home Page,To Do,02/Apr/26 12:52 PM
Profile Management Page,JUM-22,10419,Story,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3556369e,,,,,,,,,,,,,,,,0|i0019j:,,,JUM Sprint 1,,,,,,,,,,,,,10413,JUM-19,Module 3: Dashboard / Home Page,To Do,02/Apr/26 12:52 PM
3.1 Dashboard Navigation & Session Management,JUM-23,10421,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3705c992,,,,,,,,,,,,,,,,0|i0019r:,,,JUM Sprint 1,,,,,,,,,,,,,10413,JUM-19,Module 3: Dashboard / Home Page,To Do,02/Apr/26 12:52 PM
3.2.1 Search Bar,JUM-24,10423,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@35eb299,,,,,,,,,,,,,,,,0|i0019z:,,,JUM Sprint 1,,,,,,,,,,,,,10413,JUM-19,Module 3: Dashboard / Home Page,To Do,02/Apr/26 12:52 PM
3.2.2 User Profile Icon Dropdown,JUM-25,10425,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4180f8d5,,,,,,,,,,,,,,,,0|i001a7:,,,JUM Sprint 1,,,,,,,,,,,,,10413,JUM-19,Module 3: Dashboard / Home Page,To Do,02/Apr/26 12:52 PM
3.2.2.1 Edit Profile,JUM-26,10427,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4566d4bd,,,,,,,,,,,,,,,,0|i001af:,,,JUM Sprint 1,,,,,,,,,,,,,10413,JUM-19,Module 3: Dashboard / Home Page,To Do,02/Apr/26 12:52 PM
3.2.2.2 Change Password,JUM-27,10429,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@582643fc,,,,,,,,,,,,,,,,0|i001an:,,,JUM Sprint 1,,,,,,,,,,,,,10413,JUM-19,Module 3: Dashboard / Home Page,To Do,02/Apr/26 12:52 PM
Module 4: Course Listing Page,JUM-28,10430,Epic,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:53 PM,02/Apr/26 12:53 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4c0c3399,,,,,ghx-label-13,,To Do,,,,dark_green,,,,,0|i001av:,,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 12:53 PM
4.1 Navigation,JUM-29,10432,Story,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:53 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2c95c89e,,,,,,,,,,,,,,,,0|i001b3:,,,JUM Sprint 1,,,,,,,,,,,,,10430,JUM-28,Module 4: Course Listing Page,To Do,02/Apr/26 12:53 PM
4.2 Course Card Layout,JUM-30,10434,Story,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:53 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c0a747b,,,,,,,,,,,,,,,,0|i001bb:,,,JUM Sprint 1,,,,,,,,,,,,,10430,JUM-28,Module 4: Course Listing Page,To Do,02/Apr/26 12:53 PM
4.1 Course Listing Navigation,JUM-31,10436,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:53 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1fba967b,,,,,,,,,,,,,,,,0|i001bj:,,,JUM Sprint 1,,,,,,,,,,,,,10430,JUM-28,Module 4: Course Listing Page,To Do,02/Apr/26 12:53 PM
4.2a Course Thumbnail,JUM-32,10438,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:53 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7500c94a,,,,,,,,,,,,,,,,0|i001br:,,,JUM Sprint 1,,,,,,,,,,,,,10430,JUM-28,Module 4: Course Listing Page,To Do,02/Apr/26 12:53 PM
4.2b Course Title Display,JUM-33,10440,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:53 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@c4effda,,,,,,,,,,,,,,,,0|i001bz:,,,JUM Sprint 1,,,,,,,,,,,,,10430,JUM-28,Module 4: Course Listing Page,To Do,02/Apr/26 12:53 PM
